title,url,best_date_,claims,country_of_owner,primary_country,secondary_countries,robot_country_codes,language_code
【錯誤】網傳「由於NCP新型冠狀病毒，有0～24天的潛伏期...專家提供一方法讓你盡早知道自己肺部的狀況：最、最、最大深度地“吸氣”並且“屏氣”超過10秒以上...證明肺部沒有纖維化」？,https://tfc-taiwan.org.tw/articles/2501,2020-02-12,"[""【錯誤】網傳「由於NCP新型冠狀病毒，有0～24天的潛伏期...專家提供一方法讓你盡早知道自己肺部的狀況：最、最、最大深度地“吸氣”並且“屏氣”超過10秒以上...證明肺部沒有纖維化」？""]",TW,TW,"[""CN""]","[""tw""]",zh
फ़र्ज़ी संदेशों का दावा - शाहीन बाग़ प्रदर्शनकारी कोरोनावायरस की चपेट में है,https://hindi.boomlive.in/fake-news/fake-messages-claim-shaheen-bagh-protester-tested-positive-for-coronavirus-7147,2020-03-06,"[""शाहीन बाग़ में एक महिला कोरोनावायरस ग्रसित पाई गयी पर उसने इलाज़ से इंकार कर दिया""]",IN,IN,[],"[""in""]",hi
"No, non esiste un farmaco russo che previene o cura Covid-19",https://pagellapolitica.it/bufale/show/1005/no-non-esiste-un-farmaco-russo-che-previene-o-cura-covid-19,2020-03-18,"[""L'Arbidol è un farmaco russo che previene e cura il nuovo coronavirus Sars-Cov-2""]",IT,IT,[],"[""it"",""us""]",it
【錯誤】網傳自來水公司提醒：「疫情非常時期，自來水中處理過程中在允許的範圍內加大了氯氣的注入。請大家在用水時，特別是燒開水、煮飯用水前要把水裝出來，最少靜置兩小時以上再用」？,https://tfc-taiwan.org.tw/articles/3001,2020-03-11,"[""【錯誤】網傳自來水公司提醒：「疫情非常時期，自來水中處理過程中在允許的範圍內加大了氯氣的注入。請大家在用水時，特別是燒開水、煮飯用水前要把水裝出來，最少靜置兩小時以上再用」？""]",TW,TW,"[""CN""]","[""tw""]",zh
"Doctors have not projected 11 million people quarantined in Wuhan, China, will die from coronavirus",https://factcheck.afp.com/chinese-doctors-have-not-projected-11-million-people-quarantined-wuhan-china-will-die-coronavirus,2020-01-28,"[""Doctors say 11 million will die in Wuhan, China, due to new coronavirus""]",FR,US,"[""CA"",""IN"",""AU""]","[""us"",""sg"",""th"",""hk"",""cn""]",en
Cristiano Ronaldo vai transformar hotel em hospital para tratar pacientes com coronavírus #boato,https://www.boatos.org/esporte/cristiano-ronaldo-transformar-hotel-hospital-coronavirus.html,2020-03-15,"[""Os hotéis de Cristiano Ronaldo vão tornar-se hospitais a partir da próxima semana, onde pessoas com coronavírus em Portugal poderão ser tratadas de forma totalmente gratuita.""]",BR,BR,[],"[""br""]",pt
Cette image est tirée d’une pub pour une clinique ophtalmologique algérienne,https://factual.afp.com/ar/node/8340,2020-03-05,"[""L'homme atteint du nouveau coronavirus au Maroc""]",FR,ES,"[""MX"",""CO"",""AR"",""UY"",""BR""]","[""dz""]",ar
Este video con una paciente sospechosa de tener el nuevo coronavirus fue grabado en Honduras,https://factual.afp.com/este-video-con-una-paciente-sospechosa-de-tener-el-nuevo-coronavirus-fue-grabado-en-honduras,2020-03-11,"[""Paciente con coronavirus en Chiapas""]",FR,ES,"[""MX"",""CO"",""AR"",""UY"",""BR""]","[""mx"",""ec"",""hn"",""ad"",""ar"",""uy"",""fr"",""do"",""us""]",es
Ο κορωνοϊός ΔΕΝ αντιμετωπίζεται με αλάτι και ξύδι,https://www.ellinikahoaxes.gr/2020/03/16/coronavirus-sore-throat-gargling-fake/,2020-03-16,"[""Ο κορωνοϊός εξαλείφεται με πολύ νερό και γαργάρες με διάλυμα από ζεστό νερό με αλάτι ή ξύδι.""]",GR,GR,[],"[""gr""]",el
دخول 20 مليون صيني الإسلام لثبوت أن فيروس كورونا لا يصيب المسلمين! ما صحّة ذلك؟,https://fatabyyano.net/%D8%A5%D8%B3%D9%84%D8%A7%D9%85-20-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8D-%D8%B5%D9%8A%D9%86%D9%8A-%D9%81%D9%8A%D8%B1%D9%88%D8%B3-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7/,2020-02-13,"[""وباء كورونا لايصيب المسلمين الله أكبر الحمد لله على نعمة الإسلام"",""دخول 20 مليون صيني في الدين الإسلامي بعد أن ثبت أن وباء كورونا لايصيب المسلمين الله أكبر الحمد لله على نعمة الإسلام""]",JO,JO,[],"[""sa""]",ar
Fact Check: Old pic of sick chicken passed off as coronavirus infected in Bengaluru,https://www.indiatoday.in/fact-check/story/fact-check-old-pic-of-sick-chicken-passed-off-as-coronavirus-infected-in-bengaluru-1645416-2020-02-11,2020-02-11,"[""Coronavirus-infected chicken found in Bengaluru.""]",IN,IN,[],"[""in""]",en
El coronavirus no ha llegado a Cúcuta,https://www.colombiacheck.com/chequeos/el-coronavirus-no-ha-llegado-cucuta?page=36,2020-03-10,"[""El coronavirus llega a Cúcuta""]",CO,CO,[],"[""co""]",es
No han bautizado a un niño como 'Yair Coronavirus Mosquera',https://colombiacheck.com/chequeos/no-han-bautizado-un-nino-como-yair-coronavirus-mosquera?page=4,2020-03-16,"[""Niño fue bautizado como Yair Coronavirus Mosquera""]",CO,CO,[],"[""co""]",es
"[SALAH] “Corona Mudah Diatasi Jika Saya Jadi Presiden CHINA, Camkan Itu”",https://cekfakta.com/focus/3711,2020-03-20,"[""[SALAH] “Corona Mudah Diatasi Jika Saya Jadi Presiden CHINA, Camkan Itu”""]",ID,ID,[],"[""id""]",id
क्या योग गुरु रामदेव कोरोनावायरस की चपेट में हैं? नहीं ये फेक है,https://hindi.thequint.com/news/webqoof/ramdev-infected-with-coronavirus-fake-news-image-is-old-and-unrelated,2020-03-11,"[""योग गुरु रामदेव कोरोनावायरस की चपेट में हैं""]",IN,IN,[],"[""in""]",hi
"No, no hay pruebas de que el coronavirus fuese creado en un laboratorio en 2014: la patente que se usa como prueba no corresponde al virus causante del COVID-19",https://maldita.es/malditobulo/2020/03/14/verdad-coronavirus-video-patente-laboratorio/,2020-03-04,"[""El coronavirus fue creado en los laboratorios de bioinformática de la empresa Pirbright Institute en 2014""]",ES,ES,[],"[""es"",""us""]",es
Does Drinking Alcohol Prevent Coronavirus?,https://www.boomlive.in/health/does-drinking-alcohol-prevent-coronavirus-6935,2020-02-20,"[""People who drink alcohol will not be infected by the Coronavirus""]",IN,IN,[],"[""fr"",""in"",""jp"",""tw"",""ph""]",en
[SALAH] Korelasi Video Anak Disuapi Berudu Hidup dengan Virus Corona,https://cekfakta.com/focus/3558,2020-01-28,"[""[SALAH] Korelasi Video Anak Disuapi Berudu Hidup dengan Virus Corona""]",ID,ID,[],"[""id""]",id
"Estados Unidos, Australia y China prueban vacunas contra el coronavirus (Covid-19)",https://colombiacheck.com/chequeos/estados-unidos-australia-y-china-prueban-vacunas-contra-el-coronavirus-covid-19?page=4,2020-03-19,"[""Estados Unidos, Australia y China tienen vacuna contra el Coronavirus lista""]",CO,CO,[],"[""co""]",es
FALSE: Israeli scientists have not created a COVID-19 vaccine,https://namibiafactcheck.org.na/report/false-israeli-scientists-have-not-created-a-covid-19-vaccine/,2020-03-10,"[""Isreali scientists created a COVID-19 vaccine in February 2020.""]",NA,NA,[],"[""na""]",en
"Fact Check: No, US President Donald Trump is not being treated for coronavirus",https://www.indiatoday.in/fact-check/story/us-president-donald-trump-treated-coronavirus-positive-1657575-2020-03-19,2020-03-19,"[""US President Donald Trump is being treated at a hospital for coronavirus.""]",IN,IN,[],"[""in"",""cn"",""us""]",en
Videonun koronavirüs nedeniyle yere yığılan bir doktoru gösterdiği iddiası,https://teyit.org/videonun-koronavirus-nedeniyle-yere-yigilan-bir-doktoru-gosterdigi-iddiasi/,2020-02-05,"[""İDDİA: Video koronavirüs nedeniyle ameliyat esnasında yere yığılıp ölen bir doktoru gösteriyor.""]",TR,TR,[],"[""tr"",""cn""]",tr
"No, Employer Did Not Hide Work From Home Advice On COVID-19 Poster",https://www.boomlive.in/world/coronavirus/no-employer-did-not-hide-work-from-home-advice-on-covid-19-poster-7232,2020-03-15,"[""Employer covered up part of a poster on novel Coronavirus prevention that advised sick employees to stay home.""]",IN,IN,[],"[""in"",""us""]",en
"Para evitar covid-19, use álcool gel; usar mão 'não-dominante' não garante prevenção",https://politica.estadao.com.br/blogs/estadao-verifica/para-evitar-covid-19-lave-as-maos-usar-mao-nao-dominante-nao-garante-prevencao/,2020-03-19,"[""Usar mão não-dominante para abrir portas é forma de se prevenir contra coronavírus""]",BR,BR,[],"[""br"",""kr""]",pt
